Country Name,Country Code,Region,IncomeGroup,Year,Tourists
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,1999,5800.000191
Suriname,SUR,Latin America & Caribbean,Upper middle income,1999,72000.0
Slovenia,SVN,Europe & Central Asia,High income,1999,884000.0
Sweden,SWE,Europe & Central Asia,High income,1999,2595000.0
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1999,1253000.0
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,1999,1061000.0
Seychelles,SYC,Sub-Saharan Africa,High income,1999,130000.0
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,1999,2682000.0
Chad,TCD,Sub-Saharan Africa,Low income,1999,46000.0
Togo,TGO,Sub-Saharan Africa,Low income,1999,70000.0
Thailand,THA,East Asia & Pacific,Upper middle income,1999,8651000.0
Tajikistan,TJK,Europe & Central Asia,Lower middle income,1999,4500.0
Tonga,TON,East Asia & Pacific,Upper middle income,1999,44000.0
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,1999,421000.0
Tunisia,TUN,Middle East & North Africa,Lower middle income,1999,4832000.0
Turkiye,TUR,Europe & Central Asia,Upper middle income,1999,7487000.0
Tuvalu,TUV,East Asia & Pacific,Upper middle income,1999,1100.000024
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,1999,627000.0
Uganda,UGA,Sub-Saharan Africa,Low income,1999,189000.0
Ukraine,UKR,Europe & Central Asia,Upper middle income,1999,10990000.0
Uruguay,URY,Latin America & Caribbean,High income,1999,2273000.0
United States,USA,North America,High income,1999,75796000.0
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,1999,487000.0
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,1999,223000.0
"Venezuela, RB",VEN,Latin America & Caribbean,,1999,702000.0
British Virgin Islands,VGB,Latin America & Caribbean,High income,1999,284000.0
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,1999,1964000.0
Viet Nam,VNM,East Asia & Pacific,Lower middle income,1999,1782000.0
Vanuatu,VUT,East Asia & Pacific,Lower middle income,1999,96000.0
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,1999,6026000.0
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,1999,404000.0
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,1999,2250000.0
Aruba,ABW,Latin America & Caribbean,High income,2000,1211000.0
Angola,AGO,Sub-Saharan Africa,Lower middle income,2000,51000.0
Albania,ALB,Europe & Central Asia,Upper middle income,2000,317000.0
Andorra,AND,Europe & Central Asia,High income,2000,10991000.0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2000,2909000.0
Armenia,ARM,Europe & Central Asia,Upper middle income,2000,45000.0
American Samoa,ASM,East Asia & Pacific,High income,2000,44000.0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2000,634000.0
Australia,AUS,East Asia & Pacific,High income,2000,4931000.0
Austria,AUT,Europe & Central Asia,High income,2000,17982000.0
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2000,681000.0
Burundi,BDI,Sub-Saharan Africa,Low income,2000,29000.0
Belgium,BEL,Europe & Central Asia,High income,2000,6457000.0
Benin,BEN,Sub-Saharan Africa,Lower middle income,2000,1068000.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2000,126000.0
Bangladesh,BGD,South Asia,Lower middle income,2000,199000.0
Bulgaria,BGR,Europe & Central Asia,High income,2000,4922000.0
Bahrain,BHR,Middle East & North Africa,High income,2000,3869000.0
"Bahamas, The",BHS,Latin America & Caribbean,High income,2000,4204000.0
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2000,171000.0
Belarus,BLR,Europe & Central Asia,Upper middle income,2000,2030000.0
Belize,BLZ,Latin America & Caribbean,Upper middle income,2000,374000.0
Bermuda,BMU,North America,High income,2000,539000.0
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2000,319000.0
Brazil,BRA,Latin America & Caribbean,Upper middle income,2000,5313000.0
Barbados,BRB,Latin America & Caribbean,High income,2000,1078000.0
Brunei Darussalam,BRN,East Asia & Pacific,High income,2000,984000.0
Bhutan,BTN,South Asia,Lower middle income,2000,7599.999905
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2000,1306000.0
Central African Republic,CAF,Sub-Saharan Africa,Low income,2000,11199.99981
Canada,CAN,North America,High income,2000,48638000.0
Switzerland,CHE,Europe & Central Asia,High income,2000,7821000.0
China,CHN,East Asia & Pacific,Upper middle income,2000,83444000.0
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2000,103000.0
Colombia,COL,Latin America & Caribbean,Upper middle income,2000,707000.0
Comoros,COM,Sub-Saharan Africa,Lower middle income,2000,24000.0
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2000,115000.0
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2000,1278000.0
Cuba,CUB,Latin America & Caribbean,Upper middle income,2000,1774000.0
Curacao,CUW,Latin America & Caribbean,High income,2000,514000.0
Cayman Islands,CYM,Latin America & Caribbean,High income,2000,1385000.0
Cyprus,CYP,Europe & Central Asia,High income,2000,2912000.0
Germany,DEU,Europe & Central Asia,High income,2000,18983000.0
Djibouti,DJI,Middle East & North Africa,Lower middle income,2000,20100.00038
Dominica,DMA,Latin America & Caribbean,Upper middle income,2000,312000.0
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2000,3161000.0
Algeria,DZA,Middle East & North Africa,Upper middle income,2000,866000.0
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2000,627000.0
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2000,5506000.0
Eritrea,ERI,Sub-Saharan Africa,Low income,2000,70000.0
Spain,ESP,Europe & Central Asia,High income,2000,74580000.0
Estonia,EST,Europe & Central Asia,High income,2000,3310000.0
Ethiopia,ETH,Sub-Saharan Africa,Low income,2000,136000.0
Finland,FIN,Europe & Central Asia,High income,2000,2714000.0
Fiji,FJI,East Asia & Pacific,Upper middle income,2000,434000.0
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2000,20500.0
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2000,230000.0
United Kingdom,GBR,Europe & Central Asia,High income,2000,25209000.0
Georgia,GEO,Europe & Central Asia,Upper middle income,2000,387000.0
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2000,399000.0
Guinea,GIN,Sub-Saharan Africa,Lower middle income,2000,33000.0
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2000,79000.0
Greece,GRC,Europe & Central Asia,High income,2000,13567000.0
Grenada,GRD,Latin America & Caribbean,Upper middle income,2000,316000.0
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2000,826000.0
Guam,GUM,East Asia & Pacific,High income,2000,1287000.0
Guyana,GUY,Latin America & Caribbean,High income,2000,105000.0
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2000,13059000.0
Honduras,HND,Latin America & Caribbean,Lower middle income,2000,689000.0
Croatia,HRV,Europe & Central Asia,High income,2000,37226000.0
Haiti,HTI,Latin America & Caribbean,Lower middle income,2000,445000.0
Hungary,HUN,Europe & Central Asia,High income,2000,31141000.0
Indonesia,IDN,East Asia & Pacific,Upper middle income,2000,5064000.0
India,IND,South Asia,Lower middle income,2000,2649000.0
Ireland,IRL,Europe & Central Asia,High income,2000,6646000.0
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,2000,1342000.0
Iraq,IRQ,Middle East & North Africa,Upper middle income,2000,78000.0
Iceland,ISL,Europe & Central Asia,High income,2000,328000.0
Israel,ISR,Middle East & North Africa,High income,2000,2672000.0
Italy,ITA,Europe & Central Asia,High income,2000,62702000.0
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2000,2230000.0
Jordan,JOR,Middle East & North Africa,Lower middle income,2000,2700000.0
Japan,JPN,East Asia & Pacific,High income,2000,4757000.0
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2000,1683000.0
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2000,1037000.0
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2000,173000.0
Cambodia,KHM,East Asia & Pacific,Lower middle income,2000,466000.0
Kiribati,KIR,East Asia & Pacific,Lower middle income,2000,13399.99962
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2000,247000.0
"Korea, Rep.",KOR,East Asia & Pacific,High income,2000,5322000.0
Kuwait,KWT,Middle East & North Africa,High income,2000,1944000.0
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2000,737000.0
Lebanon,LBN,Middle East & North Africa,Lower middle income,2000,742000.0
Libya,LBY,Middle East & North Africa,Upper middle income,2000,963000.0
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2000,727000.0
Liechtenstein,LIE,Europe & Central Asia,High income,2000,61599.99847
Sri Lanka,LKA,South Asia,Lower middle income,2000,445000.0
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2000,302000.0
Lithuania,LTU,Europe & Central Asia,High income,2000,4092000.0
Luxembourg,LUX,Europe & Central Asia,High income,2000,852000.0
Latvia,LVA,Europe & Central Asia,High income,2000,1882000.0
"Macao SAR, China",MAC,East Asia & Pacific,High income,2000,9162000.0
Morocco,MAR,Middle East & North Africa,Lower middle income,2000,4458000.0
Monaco,MCO,Europe & Central Asia,High income,2000,300000.0
Moldova,MDA,Europe & Central Asia,Upper middle income,2000,18000.0
Maldives,MDV,South Asia,Upper middle income,2000,467000.0
Mexico,MEX,Latin America & Caribbean,Upper middle income,2000,105673000.0
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2000,5199.999809
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2000,224000.0
Mali,MLI,Sub-Saharan Africa,Low income,2000,86000.0
Malta,MLT,Middle East & North Africa,High income,2000,1387000.0
Myanmar,MMR,East Asia & Pacific,Lower middle income,2000,416000.0
Mongolia,MNG,East Asia & Pacific,Upper middle income,2000,158000.0
Northern Mariana Islands,MNP,East Asia & Pacific,High income,2000,529000.0
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2000,30000.0
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2000,678000.0
Malawi,MWI,Sub-Saharan Africa,Low income,2000,228000.0
Malaysia,MYS,East Asia & Pacific,Upper middle income,2000,10222000.0
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2000,759000.0
New Caledonia,NCL,East Asia & Pacific,High income,2000,110000.0
Niger,NER,Sub-Saharan Africa,Low income,2000,50000.0
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2000,1492000.0
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2000,581000.0
Netherlands,NLD,Europe & Central Asia,High income,2000,10003000.0
Norway,NOR,Europe & Central Asia,High income,2000,3104000.0
Nepal,NPL,South Asia,Lower middle income,2000,464000.0
New Zealand,NZL,East Asia & Pacific,High income,2000,1787000.0
Pakistan,PAK,South Asia,Lower middle income,2000,557000.0
Panama,PAN,Latin America & Caribbean,High income,2000,600000.0
Philippines,PHL,East Asia & Pacific,Lower middle income,2000,1992000.0
Palau,PLW,East Asia & Pacific,High income,2000,58000.0
Poland,POL,Europe & Central Asia,High income,2000,84515000.0
Puerto Rico,PRI,Latin America & Caribbean,High income,2000,4566000.0
Portugal,PRT,Europe & Central Asia,High income,2000,12097000.0
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2000,3924000.0
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2000,310000.0
Romania,ROU,Europe & Central Asia,High income,2000,5264000.0
Russian Federation,RUS,Europe & Central Asia,High income,2000,21169000.0
Sudan,SDN,Sub-Saharan Africa,Low income,2000,38000.0
Singapore,SGP,East Asia & Pacific,High income,2000,7691000.0
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2000,5199.999809
El Salvador,SLV,Latin America & Caribbean,Upper middle income,2000,867000.0
San Marino,SMR,Europe & Central Asia,High income,2000,3071000.0
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2000,7099.999905
Suriname,SUR,Latin America & Caribbean,Upper middle income,2000,72000.0
Slovenia,SVN,Europe & Central Asia,High income,2000,1090000.0
Sweden,SWE,Europe & Central Asia,High income,2000,3828000.0
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2000,1151000.0
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,2000,1300000.0
Seychelles,SYC,Sub-Saharan Africa,High income,2000,140000.0
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,2000,3412000.0
Chad,TCD,Sub-Saharan Africa,Low income,2000,43000.0
Togo,TGO,Sub-Saharan Africa,Low income,2000,60000.0
Thailand,THA,East Asia & Pacific,Upper middle income,2000,9579000.0
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2000,7699.999809
Tonga,TON,East Asia & Pacific,Upper middle income,2000,43000.0
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2000,503000.0
Tunisia,TUN,Middle East & North Africa,Lower middle income,2000,5058000.0
Turkiye,TUR,Europe & Central Asia,Upper middle income,2000,10428000.0
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2000,1100.000024
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,2000,501000.0
Uganda,UGA,Sub-Saharan Africa,Low income,2000,193000.0
Ukraine,UKR,Europe & Central Asia,Upper middle income,2000,11691000.0
Uruguay,URY,Latin America & Caribbean,High income,2000,2236000.0
United States,USA,North America,High income,2000,78343000.0
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2000,302000.0
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2000,256000.0
"Venezuela, RB",VEN,Latin America & Caribbean,,2000,602000.0
British Virgin Islands,VGB,Latin America & Caribbean,High income,2000,272000.0
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,2000,2396000.0
Viet Nam,VNM,East Asia & Pacific,Lower middle income,2000,2140000.0
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2000,106000.0
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2000,6001000.0
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2000,457000.0
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2000,1967000.0
Aruba,ABW,Latin America & Caribbean,High income,2001,1178000.0
Angola,AGO,Sub-Saharan Africa,Lower middle income,2001,67000.0
Albania,ALB,Europe & Central Asia,Upper middle income,2001,354000.0
Andorra,AND,Europe & Central Asia,High income,2001,11351000.0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2001,2620000.0
Armenia,ARM,Europe & Central Asia,Upper middle income,2001,123000.0
American Samoa,ASM,East Asia & Pacific,High income,2001,36000.0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2001,624000.0
Australia,AUS,East Asia & Pacific,High income,2001,4856000.0
Austria,AUT,Europe & Central Asia,High income,2001,18180000.0
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2001,767000.0
Burundi,BDI,Sub-Saharan Africa,Low income,2001,36000.0
Belgium,BEL,Europe & Central Asia,High income,2001,6452000.0
Benin,BEN,Sub-Saharan Africa,Lower middle income,2001,1155000.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2001,128000.0
Bangladesh,BGD,South Asia,Lower middle income,2001,207000.0
Bulgaria,BGR,Europe & Central Asia,High income,2001,5104000.0
Bahrain,BHR,Middle East & North Africa,High income,2001,4388000.0
"Bahamas, The",BHS,Latin America & Caribbean,High income,2001,4183000.0
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2001,139000.0
Belarus,BLR,Europe & Central Asia,Upper middle income,2001,1852000.0
Belize,BLZ,Latin America & Caribbean,Upper middle income,2001,385000.0
Bermuda,BMU,North America,High income,2001,458000.0
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2001,316000.0
Brazil,BRA,Latin America & Caribbean,Upper middle income,2001,4773000.0
Barbados,BRB,Latin America & Caribbean,High income,2001,1035000.0
Brunei Darussalam,BRN,East Asia & Pacific,High income,2001,840000.0
Bhutan,BTN,South Asia,Lower middle income,2001,6400.000095
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2001,1451000.0
Central African Republic,CAF,Sub-Saharan Africa,Low income,2001,9899.999619
Canada,CAN,North America,High income,2001,47147000.0
Switzerland,CHE,Europe & Central Asia,High income,2001,7455000.0
China,CHN,East Asia & Pacific,Upper middle income,2001,89013000.0
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2001,55000.0
Colombia,COL,Latin America & Caribbean,Upper middle income,2001,788000.0
Comoros,COM,Sub-Saharan Africa,Lower middle income,2001,19399.99962
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2001,134000.0
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2001,1320000.0
Cuba,CUB,Latin America & Caribbean,Upper middle income,2001,1775000.0
Curacao,CUW,Latin America & Caribbean,High income,2001,519000.0
Cayman Islands,CYM,Latin America & Caribbean,High income,2001,1549000.0
Cyprus,CYP,Europe & Central Asia,High income,2001,2841000.0
Germany,DEU,Europe & Central Asia,High income,2001,17861000.0
Djibouti,DJI,Middle East & North Africa,Lower middle income,2001,21600.00038
Dominica,DMA,Latin America & Caribbean,Upper middle income,2001,276000.0
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2001,3090000.0
Algeria,DZA,Middle East & North Africa,Upper middle income,2001,901000.0
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2001,641000.0
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2001,4648000.0
Eritrea,ERI,Sub-Saharan Africa,Low income,2001,113000.0
Spain,ESP,Europe & Central Asia,High income,2001,75564000.0
Estonia,EST,Europe & Central Asia,High income,2001,3230000.0
Ethiopia,ETH,Sub-Saharan Africa,Low income,2001,148000.0
Finland,FIN,Europe & Central Asia,High income,2001,2826000.0
Fiji,FJI,East Asia & Pacific,Upper middle income,2001,446000.0
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2001,15300.00019
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2001,236000.0
United Kingdom,GBR,Europe & Central Asia,High income,2001,22835000.0
Georgia,GEO,Europe & Central Asia,Upper middle income,2001,302000.0
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2001,439000.0
Guinea,GIN,Sub-Saharan Africa,Lower middle income,2001,38000.0
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2001,57000.0
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2001,7800.000191
Greece,GRC,Europe & Central Asia,High income,2001,14678000.0
Grenada,GRD,Latin America & Caribbean,Upper middle income,2001,277000.0
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2001,835000.0
Guam,GUM,East Asia & Pacific,High income,2001,1159000.0
Guyana,GUY,Latin America & Caribbean,High income,2001,99000.0
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2001,13725000.0
Honduras,HND,Latin America & Caribbean,Lower middle income,2001,672000.0
Croatia,HRV,Europe & Central Asia,High income,2001,40129000.0
Haiti,HTI,Latin America & Caribbean,Lower middle income,2001,499000.0
Hungary,HUN,Europe & Central Asia,High income,2001,30679000.0
Indonesia,IDN,East Asia & Pacific,Upper middle income,2001,5153000.0
India,IND,South Asia,Lower middle income,2001,2537000.0
Ireland,IRL,Europe & Central Asia,High income,2001,6353000.0
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,2001,1402000.0
Iraq,IRQ,Middle East & North Africa,Upper middle income,2001,127000.0
Iceland,ISL,Europe & Central Asia,High income,2001,329000.0
Israel,ISR,Middle East & North Africa,High income,2001,1219000.0
Italy,ITA,Europe & Central Asia,High income,2001,60960000.0
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2001,2117000.0
Jordan,JOR,Middle East & North Africa,Lower middle income,2001,3034000.0
Japan,JPN,East Asia & Pacific,High income,2001,4772000.0
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2001,2693000.0
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2001,994000.0
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2001,199000.0
Cambodia,KHM,East Asia & Pacific,Lower middle income,2001,605000.0
Kiribati,KIR,East Asia & Pacific,Lower middle income,2001,14500.0
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2001,334000.0
"Korea, Rep.",KOR,East Asia & Pacific,High income,2001,5147000.0
Kuwait,KWT,Middle East & North Africa,High income,2001,2072000.0
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2001,674000.0
Lebanon,LBN,Middle East & North Africa,Lower middle income,2001,837000.0
Libya,LBY,Middle East & North Africa,Upper middle income,2001,953000.0
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2001,747000.0
Liechtenstein,LIE,Europe & Central Asia,High income,2001,56500.0
Sri Lanka,LKA,South Asia,Lower middle income,2001,397000.0
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2001,295000.0
Lithuania,LTU,Europe & Central Asia,High income,2001,4195000.0
Luxembourg,LUX,Europe & Central Asia,High income,2001,836000.0
Latvia,LVA,Europe & Central Asia,High income,2001,2061000.0
"Macao SAR, China",MAC,East Asia & Pacific,High income,2001,10279000.0
Morocco,MAR,Middle East & North Africa,Lower middle income,2001,4596000.0
Monaco,MCO,Europe & Central Asia,High income,2001,270000.0
Moldova,MDA,Europe & Central Asia,Upper middle income,2001,16000.0
Maldives,MDV,South Asia,Upper middle income,2001,461000.0
Mexico,MEX,Latin America & Caribbean,Upper middle income,2001,100718000.0
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2001,5400.000095
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2001,99000.0
Mali,MLI,Sub-Saharan Africa,Low income,2001,89000.0
Malta,MLT,Middle East & North Africa,High income,2001,1439000.0
Myanmar,MMR,East Asia & Pacific,Lower middle income,2001,475000.0
Mongolia,MNG,East Asia & Pacific,Upper middle income,2001,192000.0
Northern Mariana Islands,MNP,East Asia & Pacific,High income,2001,444000.0
Mozambique,MOZ,Sub-Saharan Africa,Low income,2001,404000.0
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2001,675000.0
Malawi,MWI,Sub-Saharan Africa,Low income,2001,266000.0
Malaysia,MYS,East Asia & Pacific,Upper middle income,2001,12775000.0
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2001,700000.0
New Caledonia,NCL,East Asia & Pacific,High income,2001,101000.0
Niger,NER,Sub-Saharan Africa,Low income,2001,52000.0
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2001,1753000.0
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2001,584000.0
Netherlands,NLD,Europe & Central Asia,High income,2001,9500000.0
Norway,NOR,Europe & Central Asia,High income,2001,3073000.0
Nepal,NPL,South Asia,Lower middle income,2001,361000.0
New Zealand,NZL,East Asia & Pacific,High income,2001,1909000.0
Oman,OMN,Middle East & North Africa,High income,2001,1095000.0
Pakistan,PAK,South Asia,Lower middle income,2001,500000.0
Panama,PAN,Latin America & Caribbean,High income,2001,737000.0
Philippines,PHL,East Asia & Pacific,Lower middle income,2001,1797000.0
Palau,PLW,East Asia & Pacific,High income,2001,54000.0
Poland,POL,Europe & Central Asia,High income,2001,61431000.0
Puerto Rico,PRI,Latin America & Caribbean,High income,2001,4908000.0
Portugal,PRT,Europe & Central Asia,High income,2001,12167000.0
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2001,3550000.0
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2001,43000.0
Romania,ROU,Europe & Central Asia,High income,2001,4938000.0
Russian Federation,RUS,Europe & Central Asia,High income,2001,21595000.0
Sudan,SDN,Sub-Saharan Africa,Low income,2001,50000.0
Singapore,SGP,East Asia & Pacific,High income,2001,7522000.0
El Salvador,SLV,Latin America & Caribbean,Upper middle income,2001,804000.0
San Marino,SMR,Europe & Central Asia,High income,2001,3036000.0
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2001,7500.0
Suriname,SUR,Latin America & Caribbean,Upper middle income,2001,68000.0
Slovenia,SVN,Europe & Central Asia,High income,2001,1219000.0
Sweden,SWE,Europe & Central Asia,High income,2001,4108000.0
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2001,1312000.0
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,2001,1271000.0
Seychelles,SYC,Sub-Saharan Africa,High income,2001,138000.0
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,2001,3671000.0
Chad,TCD,Sub-Saharan Africa,Low income,2001,57000.0
Togo,TGO,Sub-Saharan Africa,Low income,2001,57000.0
Thailand,THA,East Asia & Pacific,Upper middle income,2001,10133000.0
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2001,5199.999809
Tonga,TON,East Asia & Pacific,Upper middle income,2001,38000.0
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2001,468000.0
Tunisia,TUN,Middle East & North Africa,Lower middle income,2001,5387000.0
Turkiye,TUR,Europe & Central Asia,Upper middle income,2001,11619000.0
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2001,1100.000024
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,2001,525000.0
Uganda,UGA,Sub-Saharan Africa,Low income,2001,205000.0
Ukraine,UKR,Europe & Central Asia,Upper middle income,2001,11877000.0
Uruguay,URY,Latin America & Caribbean,High income,2001,2136000.0
United States,USA,North America,High income,2001,70975000.0
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2001,345000.0
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2001,254000.0
"Venezuela, RB",VEN,Latin America & Caribbean,,2001,792000.0
British Virgin Islands,VGB,Latin America & Caribbean,High income,2001,296000.0
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,2001,2497000.0
Viet Nam,VNM,East Asia & Pacific,Lower middle income,2001,2330000.0
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2001,106000.0
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2001,5908000.0
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2001,492000.0
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2001,2217000.0
Aruba,ABW,Latin America & Caribbean,High income,2002,1225000.0
Angola,AGO,Sub-Saharan Africa,Lower middle income,2002,91000.0
Albania,ALB,Europe & Central Asia,Upper middle income,2002,470000.0
Andorra,AND,Europe & Central Asia,High income,2002,11507000.0
Argentina,ARG,Latin America & Caribbean,Upper middle income,2002,2820000.0
Armenia,ARM,Europe & Central Asia,Upper middle income,2002,162000.0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2002,528000.0
Australia,AUS,East Asia & Pacific,High income,2002,4841000.0
Austria,AUT,Europe & Central Asia,High income,2002,18611000.0
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2002,834000.0
Burundi,BDI,Sub-Saharan Africa,Low income,2002,74000.0
Belgium,BEL,Europe & Central Asia,High income,2002,6720000.0
Benin,BEN,Sub-Saharan Africa,Lower middle income,2002,853000.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2002,150000.0
Bangladesh,BGD,South Asia,Lower middle income,2002,207000.0
Bulgaria,BGR,Europe & Central Asia,High income,2002,5563000.0
Bahrain,BHR,Middle East & North Africa,High income,2002,4831000.0
"Bahamas, The",BHS,Latin America & Caribbean,High income,2002,4406000.0
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2002,160000.0
Belarus,BLR,Europe & Central Asia,Upper middle income,2002,1907000.0
Belize,BLZ,Latin America & Caribbean,Upper middle income,2002,694000.0
Bermuda,BMU,North America,High income,2002,484000.0
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2002,334000.0
